"Enviro","Plot","Entry","Check","Row","Col","Blk","Row.Blk","Col.Blk"
"Eretz",1001,"entry_256",0,1,1,1,1,1
"Eretz",1002,"entry_197",0,1,2,1,1,1
"Eretz",1003,"chk3",3,1,3,1,1,1
"Eretz",1004,"entry_54",0,1,4,1,1,1
"Eretz",1005,"entry_257",0,1,5,1,1,1
"Eretz",1006,"entry_45",0,1,6,2,1,2
"Eretz",1007,"entry_150",0,1,7,2,1,2
"Eretz",1008,"entry_110",0,1,8,2,1,2
"Eretz",1009,"entry_258",0,1,9,2,1,2
"Eretz",1010,"entry_129",0,1,10,2,1,2
"Eretz",1011,"entry_327",0,1,11,3,1,3
"Eretz",1012,"entry_310",0,1,12,3,1,3
"Eretz",1013,"entry_193",0,1,13,3,1,3
"Eretz",1014,"entry_151",0,1,14,3,1,3
"Eretz",1015,"entry_186",0,1,15,3,1,3
"Eretz",1016,"chk2",2,1,16,4,1,4
"Eretz",1017,"entry_212",0,1,17,4,1,4
"Eretz",1018,"entry_99",0,1,18,4,1,4
"Eretz",1019,"chk4",4,1,19,4,1,4
"Eretz",1020,"entry_238",0,1,20,4,1,4
"Eretz",1021,"entry_300",0,1,21,5,1,5
"Eretz",1022,"entry_62",0,1,22,5,1,5
"Eretz",1023,"entry_130",0,1,23,5,1,5
"Eretz",1024,"entry_282",0,1,24,5,1,5
"Eretz",1025,"entry_204",0,1,25,5,1,5
"Eretz",1026,"entry_117",0,1,26,6,1,6
"Eretz",1027,"entry_4",0,1,27,6,1,6
"Eretz",1028,"entry_149",0,1,28,6,1,6
"Eretz",1029,"entry_182",0,1,29,6,1,6
"Eretz",1030,"entry_16",0,1,30,6,1,6
"Eretz",1031,"entry_37",0,1,31,7,1,7
"Eretz",1032,"entry_102",0,1,32,7,1,7
"Eretz",1033,"entry_17",0,1,33,7,1,7
"Eretz",1034,"entry_272",0,1,34,7,1,7
"Eretz",1035,"entry_181",0,1,35,7,1,7
"Eretz",1036,"chk4",4,1,36,8,1,8
"Eretz",1037,"entry_262",0,1,37,8,1,8
"Eretz",1038,"entry_250",0,1,38,8,1,8
"Eretz",1039,"entry_243",0,1,39,8,1,8
"Eretz",1040,"chk3",3,1,40,8,1,8
"Eretz",1041,"entry_63",0,1,41,9,1,9
"Eretz",1042,"entry_91",0,1,42,9,1,9
"Eretz",1043,"chk4",4,1,43,9,1,9
"Eretz",1044,"entry_97",0,1,44,9,1,9
"Eretz",1045,"entry_232",0,1,45,9,1,9
"Eretz",1046,"entry_104",0,2,45,9,1,9
"Eretz",1047,"chk3",3,2,44,9,1,9
"Eretz",1048,"chk1",1,2,43,9,1,9
"Eretz",1049,"chk2",2,2,42,9,1,9
"Eretz",1050,"entry_72",0,2,41,9,1,9
"Eretz",1051,"entry_34",0,2,40,8,1,8
"Eretz",1052,"chk2",2,2,39,8,1,8
"Eretz",1053,"chk1",1,2,38,8,1,8
"Eretz",1054,"entry_194",0,2,37,8,1,8
"Eretz",1055,"entry_19",0,2,36,8,1,8
"Eretz",1056,"entry_289",0,2,35,7,1,7
"Eretz",1057,"entry_28",0,2,34,7,1,7
"Eretz",1058,"chk1",1,2,33,7,1,7
"Eretz",1059,"entry_27",0,2,32,7,1,7
"Eretz",1060,"entry_230",0,2,31,7,1,7
"Eretz",1061,"entry_15",0,2,30,6,1,6
"Eretz",1062,"entry_108",0,2,29,6,1,6
"Eretz",1063,"chk1",1,2,28,6,1,6
"Eretz",1064,"entry_179",0,2,27,6,1,6
"Eretz",1065,"entry_176",0,2,26,6,1,6
"Eretz",1066,"entry_118",0,2,25,5,1,5
"Eretz",1067,"entry_64",0,2,24,5,1,5
"Eretz",1068,"chk1",1,2,23,5,1,5
"Eretz",1069,"chk2",2,2,22,5,1,5
"Eretz",1070,"chk3",3,2,21,5,1,5
"Eretz",1071,"entry_311",0,2,20,4,1,4
"Eretz",1072,"entry_301",0,2,19,4,1,4
"Eretz",1073,"chk1",1,2,18,4,1,4
"Eretz",1074,"chk3",3,2,17,4,1,4
"Eretz",1075,"entry_304",0,2,16,4,1,4
"Eretz",1076,"entry_80",0,2,15,3,1,3
"Eretz",1077,"entry_188",0,2,14,3,1,3
"Eretz",1078,"chk1",1,2,13,3,1,3
"Eretz",1079,"entry_5",0,2,12,3,1,3
"Eretz",1080,"entry_220",0,2,11,3,1,3
"Eretz",1081,"entry_71",0,2,10,2,1,2
"Eretz",1082,"entry_209",0,2,9,2,1,2
"Eretz",1083,"chk1",1,2,8,2,1,2
"Eretz",1084,"entry_100",0,2,7,2,1,2
"Eretz",1085,"chk3",3,2,6,2,1,2
"Eretz",1086,"chk2",2,2,5,1,1,1
"Eretz",1087,"entry_242",0,2,4,1,1,1
"Eretz",1088,"chk1",1,2,3,1,1,1
"Eretz",1089,"entry_200",0,2,2,1,1,1
"Eretz",1090,"entry_229",0,2,1,1,1,1
"Eretz",1091,"entry_216",0,3,1,1,1,1
"Eretz",1092,"entry_312",0,3,2,1,1,1
"Eretz",1093,"chk4",4,3,3,1,1,1
"Eretz",1094,"entry_24",0,3,4,1,1,1
"Eretz",1095,"entry_261",0,3,5,1,1,1
"Eretz",1096,"entry_155",0,3,6,2,1,2
"Eretz",1097,"entry_116",0,3,7,2,1,2
"Eretz",1098,"entry_218",0,3,8,2,1,2
"Eretz",1099,"chk2",2,3,9,2,1,2
"Eretz",1100,"chk4",4,3,10,2,1,2
"Eretz",1101,"entry_223",0,3,11,3,1,3
"Eretz",1102,"entry_84",0,3,12,3,1,3
"Eretz",1103,"entry_93",0,3,13,3,1,3
"Eretz",1104,"entry_48",0,3,14,3,1,3
"Eretz",1105,"entry_133",0,3,15,3,1,3
"Eretz",1106,"entry_1",0,3,16,4,1,4
"Eretz",1107,"entry_122",0,3,17,4,1,4
"Eretz",1108,"entry_271",0,3,18,4,1,4
"Eretz",1109,"entry_128",0,3,19,4,1,4
"Eretz",1110,"entry_125",0,3,20,4,1,4
"Eretz",1111,"chk4",4,3,21,5,1,5
"Eretz",1112,"entry_86",0,3,22,5,1,5
"Eretz",1113,"entry_136",0,3,23,5,1,5
"Eretz",1114,"entry_51",0,3,24,5,1,5
"Eretz",1115,"entry_6",0,3,25,5,1,5
"Eretz",1116,"entry_259",0,3,26,6,1,6
"Eretz",1117,"entry_274",0,3,27,6,1,6
"Eretz",1118,"entry_254",0,3,28,6,1,6
"Eretz",1119,"entry_32",0,3,29,6,1,6
"Eretz",1120,"entry_292",0,3,30,6,1,6
"Eretz",1121,"entry_233",0,3,31,7,1,7
"Eretz",1122,"entry_3",0,3,32,7,1,7
"Eretz",1123,"entry_265",0,3,33,7,1,7
"Eretz",1124,"entry_145",0,3,34,7,1,7
"Eretz",1125,"entry_146",0,3,35,7,1,7
"Eretz",1126,"entry_199",0,3,36,8,1,8
"Eretz",1127,"entry_225",0,3,37,8,1,8
"Eretz",1128,"entry_164",0,3,38,8,1,8
"Eretz",1129,"entry_82",0,3,39,8,1,8
"Eretz",1130,"entry_278",0,3,40,8,1,8
"Eretz",1131,"entry_77",0,3,41,9,1,9
"Eretz",1132,"entry_286",0,3,42,9,1,9
"Eretz",1133,"entry_135",0,3,43,9,1,9
"Eretz",1134,"entry_87",0,3,44,9,1,9
"Eretz",1135,"entry_65",0,3,45,9,1,9
"Eretz",1136,"entry_215",0,4,45,10,2,9
"Eretz",1137,"entry_166",0,4,44,10,2,9
"Eretz",1138,"entry_139",0,4,43,10,2,9
"Eretz",1139,"entry_201",0,4,42,10,2,9
"Eretz",1140,"entry_138",0,4,41,10,2,9
"Eretz",1141,"entry_305",0,4,40,11,2,8
"Eretz",1142,"entry_94",0,4,39,11,2,8
"Eretz",1143,"chk2",2,4,38,11,2,8
"Eretz",1144,"entry_152",0,4,37,11,2,8
"Eretz",1145,"entry_40",0,4,36,11,2,8
"Eretz",1146,"entry_184",0,4,35,12,2,7
"Eretz",1147,"entry_67",0,4,34,12,2,7
"Eretz",1148,"entry_280",0,4,33,12,2,7
"Eretz",1149,"chk3",3,4,32,12,2,7
"Eretz",1150,"entry_90",0,4,31,12,2,7
"Eretz",1151,"entry_321",0,4,30,13,2,6
"Eretz",1152,"entry_21",0,4,29,13,2,6
"Eretz",1153,"entry_324",0,4,28,13,2,6
"Eretz",1154,"entry_7",0,4,27,13,2,6
"Eretz",1155,"entry_39",0,4,26,13,2,6
"Eretz",1156,"entry_154",0,4,25,14,2,5
"Eretz",1157,"entry_313",0,4,24,14,2,5
"Eretz",1158,"entry_330",0,4,23,14,2,5
"Eretz",1159,"entry_119",0,4,22,14,2,5
"Eretz",1160,"entry_297",0,4,21,14,2,5
"Eretz",1161,"entry_189",0,4,20,15,2,4
"Eretz",1162,"entry_143",0,4,19,15,2,4
"Eretz",1163,"entry_109",0,4,18,15,2,4
"Eretz",1164,"entry_148",0,4,17,15,2,4
"Eretz",1165,"entry_178",0,4,16,15,2,4
"Eretz",1166,"entry_69",0,4,15,16,2,3
"Eretz",1167,"chk3",3,4,14,16,2,3
"Eretz",1168,"entry_221",0,4,13,16,2,3
"Eretz",1169,"chk4",4,4,12,16,2,3
"Eretz",1170,"chk2",2,4,11,16,2,3
"Eretz",1171,"entry_105",0,4,10,17,2,2
"Eretz",1172,"entry_177",0,4,9,17,2,2
"Eretz",1173,"entry_287",0,4,8,17,2,2
"Eretz",1174,"entry_141",0,4,7,17,2,2
"Eretz",1175,"entry_147",0,4,6,17,2,2
"Eretz",1176,"entry_58",0,4,5,18,2,1
"Eretz",1177,"entry_165",0,4,4,18,2,1
"Eretz",1178,"entry_96",0,4,3,18,2,1
"Eretz",1179,"entry_228",0,4,2,18,2,1
"Eretz",1180,"entry_114",0,4,1,18,2,1
"Eretz",1181,"entry_137",0,5,1,18,2,1
"Eretz",1182,"entry_306",0,5,2,18,2,1
"Eretz",1183,"chk1",1,5,3,18,2,1
"Eretz",1184,"entry_196",0,5,4,18,2,1
"Eretz",1185,"entry_303",0,5,5,18,2,1
"Eretz",1186,"chk2",2,5,6,17,2,2
"Eretz",1187,"entry_132",0,5,7,17,2,2
"Eretz",1188,"chk1",1,5,8,17,2,2
"Eretz",1189,"entry_281",0,5,9,17,2,2
"Eretz",1190,"entry_75",0,5,10,17,2,2
"Eretz",1191,"entry_260",0,5,11,16,2,3
"Eretz",1192,"entry_14",0,5,12,16,2,3
"Eretz",1193,"chk1",1,5,13,16,2,3
"Eretz",1194,"entry_9",0,5,14,16,2,3
"Eretz",1195,"entry_123",0,5,15,16,2,3
"Eretz",1196,"entry_106",0,5,16,15,2,4
"Eretz",1197,"entry_253",0,5,17,15,2,4
"Eretz",1198,"chk1",1,5,18,15,2,4
"Eretz",1199,"entry_249",0,5,19,15,2,4
"Eretz",1200,"entry_239",0,5,20,15,2,4
"Eretz",1201,"entry_153",0,5,21,14,2,5
"Eretz",1202,"entry_81",0,5,22,14,2,5
"Eretz",1203,"chk1",1,5,23,14,2,5
"Eretz",1204,"entry_73",0,5,24,14,2,5
"Eretz",1205,"entry_245",0,5,25,14,2,5
"Eretz",1206,"entry_307",0,5,26,13,2,6
"Eretz",1207,"entry_134",0,5,27,13,2,6
"Eretz",1208,"chk1",1,5,28,13,2,6
"Eretz",1209,"entry_308",0,5,29,13,2,6
"Eretz",1210,"entry_268",0,5,30,13,2,6
"Eretz",1211,"entry_291",0,5,31,12,2,7
"Eretz",1212,"entry_50",0,5,32,12,2,7
"Eretz",1213,"chk1",1,5,33,12,2,7
"Eretz",1214,"entry_248",0,5,34,12,2,7
"Eretz",1215,"chk2",2,5,35,12,2,7
"Eretz",1216,"entry_89",0,5,36,11,2,8
"Eretz",1217,"entry_299",0,5,37,11,2,8
"Eretz",1218,"chk1",1,5,38,11,2,8
"Eretz",1219,"entry_240",0,5,39,11,2,8
"Eretz",1220,"chk4",4,5,40,11,2,8
"Eretz",1221,"entry_140",0,5,41,10,2,9
"Eretz",1222,"entry_314",0,5,42,10,2,9
"Eretz",1223,"chk1",1,5,43,10,2,9
"Eretz",1224,"entry_127",0,5,44,10,2,9
"Eretz",1225,"entry_53",0,5,45,10,2,9
"Eretz",1226,"entry_264",0,6,45,10,2,9
"Eretz",1227,"entry_49",0,6,44,10,2,9
"Eretz",1228,"entry_126",0,6,43,10,2,9
"Eretz",1229,"entry_183",0,6,42,10,2,9
"Eretz",1230,"entry_59",0,6,41,10,2,9
"Eretz",1231,"entry_158",0,6,40,11,2,8
"Eretz",1232,"chk3",3,6,39,11,2,8
"Eretz",1233,"entry_160",0,6,38,11,2,8
"Eretz",1234,"entry_162",0,6,37,11,2,8
"Eretz",1235,"entry_217",0,6,36,11,2,8
"Eretz",1236,"chk4",4,6,35,12,2,7
"Eretz",1237,"entry_131",0,6,34,12,2,7
"Eretz",1238,"entry_115",0,6,33,12,2,7
"Eretz",1239,"entry_317",0,6,32,12,2,7
"Eretz",1240,"entry_270",0,6,31,12,2,7
"Eretz",1241,"entry_31",0,6,30,13,2,6
"Eretz",1242,"entry_244",0,6,29,13,2,6
"Eretz",1243,"entry_234",0,6,28,13,2,6
"Eretz",1244,"entry_185",0,6,27,13,2,6
"Eretz",1245,"entry_315",0,6,26,13,2,6
"Eretz",1246,"entry_298",0,6,25,14,2,5
"Eretz",1247,"entry_68",0,6,24,14,2,5
"Eretz",1248,"entry_56",0,6,23,14,2,5
"Eretz",1249,"entry_29",0,6,22,14,2,5
"Eretz",1250,"entry_237",0,6,21,14,2,5
"Eretz",1251,"entry_25",0,6,20,15,2,4
"Eretz",1252,"entry_38",0,6,19,15,2,4
"Eretz",1253,"entry_70",0,6,18,15,2,4
"Eretz",1254,"entry_88",0,6,17,15,2,4
"Eretz",1255,"entry_46",0,6,16,15,2,4
"Eretz",1256,"entry_60",0,6,15,16,2,3
"Eretz",1257,"entry_13",0,6,14,16,2,3
"Eretz",1258,"entry_319",0,6,13,16,2,3
"Eretz",1259,"entry_79",0,6,12,16,2,3
"Eretz",1260,"entry_202",0,6,11,16,2,3
"Eretz",1261,"entry_44",0,6,10,17,2,2
"Eretz",1262,"chk4",4,6,9,17,2,2
"Eretz",1263,"entry_288",0,6,8,17,2,2
"Eretz",1264,"entry_190",0,6,7,17,2,2
"Eretz",1265,"chk3",3,6,6,17,2,2
"Eretz",1266,"entry_168",0,6,5,18,2,1
"Eretz",1267,"entry_18",0,6,4,18,2,1
"Eretz",1268,"entry_107",0,6,3,18,2,1
"Eretz",1269,"entry_41",0,6,2,18,2,1
"Eretz",1270,"entry_170",0,6,1,18,2,1
"Eretz",1271,"entry_172",0,7,1,19,3,1
"Eretz",1272,"entry_103",0,7,2,19,3,1
"Eretz",1273,"entry_251",0,7,3,19,3,1
"Eretz",1274,"entry_159",0,7,4,19,3,1
"Eretz",1275,"entry_226",0,7,5,19,3,1
"Eretz",1276,"entry_76",0,7,6,20,3,2
"Eretz",1277,"entry_120",0,7,7,20,3,2
"Eretz",1278,"entry_10",0,7,8,20,3,2
"Eretz",1279,"entry_83",0,7,9,20,3,2
"Eretz",1280,"entry_211",0,7,10,20,3,2
"Eretz",1281,"entry_328",0,7,11,21,3,3
"Eretz",1282,"entry_320",0,7,12,21,3,3
"Eretz",1283,"entry_302",0,7,13,21,3,3
"Eretz",1284,"entry_322",0,7,14,21,3,3
"Eretz",1285,"entry_36",0,7,15,21,3,3
"Eretz",1286,"entry_92",0,7,16,22,3,4
"Eretz",1287,"chk4",4,7,17,22,3,4
"Eretz",1288,"entry_205",0,7,18,22,3,4
"Eretz",1289,"entry_55",0,7,19,22,3,4
"Eretz",1290,"chk2",2,7,20,22,3,4
"Eretz",1291,"entry_294",0,7,21,23,3,5
"Eretz",1292,"entry_142",0,7,22,23,3,5
"Eretz",1293,"entry_284",0,7,23,23,3,5
"Eretz",1294,"entry_309",0,7,24,23,3,5
"Eretz",1295,"entry_208",0,7,25,23,3,5
"Eretz",1296,"entry_121",0,7,26,24,3,6
"Eretz",1297,"entry_157",0,7,27,24,3,6
"Eretz",1298,"entry_318",0,7,28,24,3,6
"Eretz",1299,"entry_35",0,7,29,24,3,6
"Eretz",1300,"chk4",4,7,30,24,3,6
"Eretz",1301,"entry_275",0,7,31,25,3,7
"Eretz",1302,"entry_163",0,7,32,25,3,7
"Eretz",1303,"chk2",2,7,33,25,3,7
"Eretz",1304,"entry_174",0,7,34,25,3,7
"Eretz",1305,"entry_210",0,7,35,25,3,7
"Eretz",1306,"entry_219",0,7,36,26,3,8
"Eretz",1307,"entry_227",0,7,37,26,3,8
"Eretz",1308,"entry_263",0,7,38,26,3,8
"Eretz",1309,"entry_61",0,7,39,26,3,8
"Eretz",1310,"entry_231",0,7,40,26,3,8
"Eretz",1311,"entry_52",0,7,41,27,3,9
"Eretz",1312,"chk4",4,7,42,27,3,9
"Eretz",1313,"entry_113",0,7,43,27,3,9
"Eretz",1314,"entry_295",0,7,44,27,3,9
"Eretz",1315,"entry_273",0,7,45,27,3,9
"Eretz",1316,"entry_213",0,8,45,27,3,9
"Eretz",1317,"entry_236",0,8,44,27,3,9
"Eretz",1318,"chk1",1,8,43,27,3,9
"Eretz",1319,"entry_195",0,8,42,27,3,9
"Eretz",1320,"entry_247",0,8,41,27,3,9
"Eretz",1321,"entry_2",0,8,40,26,3,8
"Eretz",1322,"entry_98",0,8,39,26,3,8
"Eretz",1323,"chk1",1,8,38,26,3,8
"Eretz",1324,"entry_293",0,8,37,26,3,8
"Eretz",1325,"entry_26",0,8,36,26,3,8
"Eretz",1326,"entry_85",0,8,35,25,3,7
"Eretz",1327,"entry_224",0,8,34,25,3,7
"Eretz",1328,"chk1",1,8,33,25,3,7
"Eretz",1329,"entry_203",0,8,32,25,3,7
"Eretz",1330,"entry_33",0,8,31,25,3,7
"Eretz",1331,"entry_11",0,8,30,24,3,6
"Eretz",1332,"entry_266",0,8,29,24,3,6
"Eretz",1333,"chk1",1,8,28,24,3,6
"Eretz",1334,"entry_198",0,8,27,24,3,6
"Eretz",1335,"entry_47",0,8,26,24,3,6
"Eretz",1336,"entry_241",0,8,25,23,3,5
"Eretz",1337,"entry_206",0,8,24,23,3,5
"Eretz",1338,"chk1",1,8,23,23,3,5
"Eretz",1339,"entry_20",0,8,22,23,3,5
"Eretz",1340,"entry_78",0,8,21,23,3,5
"Eretz",1341,"entry_173",0,8,20,22,3,4
"Eretz",1342,"chk3",3,8,19,22,3,4
"Eretz",1343,"chk1",1,8,18,22,3,4
"Eretz",1344,"entry_111",0,8,17,22,3,4
"Eretz",1345,"entry_124",0,8,16,22,3,4
"Eretz",1346,"entry_329",0,8,15,21,3,3
"Eretz",1347,"chk4",4,8,14,21,3,3
"Eretz",1348,"chk1",1,8,13,21,3,3
"Eretz",1349,"entry_316",0,8,12,21,3,3
"Eretz",1350,"entry_255",0,8,11,21,3,3
"Eretz",1351,"entry_156",0,8,10,20,3,2
"Eretz",1352,"entry_43",0,8,9,20,3,2
"Eretz",1353,"chk1",1,8,8,20,3,2
"Eretz",1354,"entry_180",0,8,7,20,3,2
"Eretz",1355,"entry_269",0,8,6,20,3,2
"Eretz",1356,"entry_326",0,8,5,19,3,1
"Eretz",1357,"chk4",4,8,4,19,3,1
"Eretz",1358,"chk1",1,8,3,19,3,1
"Eretz",1359,"entry_214",0,8,2,19,3,1
"Eretz",1360,"entry_161",0,8,1,19,3,1
"Eretz",1361,"entry_171",0,9,1,19,3,1
"Eretz",1362,"chk2",2,9,2,19,3,1
"Eretz",1363,"chk3",3,9,3,19,3,1
"Eretz",1364,"entry_222",0,9,4,19,3,1
"Eretz",1365,"entry_283",0,9,5,19,3,1
"Eretz",1366,"entry_252",0,9,6,20,3,2
"Eretz",1367,"entry_57",0,9,7,20,3,2
"Eretz",1368,"entry_175",0,9,8,20,3,2
"Eretz",1369,"entry_296",0,9,9,20,3,2
"Eretz",1370,"entry_267",0,9,10,20,3,2
"Eretz",1371,"chk2",2,9,11,21,3,3
"Eretz",1372,"chk3",3,9,12,21,3,3
"Eretz",1373,"entry_285",0,9,13,21,3,3
"Eretz",1374,"entry_276",0,9,14,21,3,3
"Eretz",1375,"entry_8",0,9,15,21,3,3
"Eretz",1376,"entry_246",0,9,16,22,3,4
"Eretz",1377,"entry_235",0,9,17,22,3,4
"Eretz",1378,"entry_30",0,9,18,22,3,4
"Eretz",1379,"entry_290",0,9,19,22,3,4
"Eretz",1380,"entry_95",0,9,20,22,3,4
"Eretz",1381,"entry_112",0,9,21,23,3,5
"Eretz",1382,"entry_323",0,9,22,23,3,5
"Eretz",1383,"entry_277",0,9,23,23,3,5
"Eretz",1384,"entry_207",0,9,24,23,3,5
"Eretz",1385,"entry_325",0,9,25,23,3,5
"Eretz",1386,"entry_12",0,9,26,24,3,6
"Eretz",1387,"chk3",3,9,27,24,3,6
"Eretz",1388,"chk2",2,9,28,24,3,6
"Eretz",1389,"entry_191",0,9,29,24,3,6
"Eretz",1390,"entry_42",0,9,30,24,3,6
"Eretz",1391,"entry_66",0,9,31,25,3,7
"Eretz",1392,"chk3",3,9,32,25,3,7
"Eretz",1393,"entry_101",0,9,33,25,3,7
"Eretz",1394,"entry_144",0,9,34,25,3,7
"Eretz",1395,"chk4",4,9,35,25,3,7
"Eretz",1396,"entry_22",0,9,36,26,3,8
"Eretz",1397,"entry_23",0,9,37,26,3,8
"Eretz",1398,"entry_192",0,9,38,26,3,8
"Eretz",1399,"entry_169",0,9,39,26,3,8
"Eretz",1400,"entry_279",0,9,40,26,3,8
"Eretz",1401,"chk3",3,9,41,27,3,9
"Eretz",1402,"entry_74",0,9,42,27,3,9
"Eretz",1403,"entry_187",0,9,43,27,3,9
"Eretz",1404,"entry_167",0,9,44,27,3,9
"Eretz",1405,"chk2",2,9,45,27,3,9
